,ID,Assigned User,Title,Time,Tags,Products,Incident,Suspicious,Important,Ports,Outcomes,Status,Environment,Priority,Stage,Ticket IDs,Closing Time,Sources,Reason,Root Cause,Alerts Count
0,2232116,securityanalyst1,Microsoft Office 365,2022-11-16 13:15:07 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Assessment,"276131_SRA-P: User Login Success other countries_1668693978333_1668695562552,276131_SRA-P: User Login Success other countries_1668616896650_1668617183760",,,,,2
1,2230666,securityanalyst1,Amazon AWS WAF,2022-11-12 06:38:55 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275182_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668244745867_1668244745867,,,,,1
2,2232783,Admin,Microsoft Windows Security Event Log,2022-11-18 10:48:33 UTC-05,,Login,False,False,False,0,8126,Closed,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,276693_Scheduled Task Created on Multiple Hosts_1668783924352_1668783924352,2022-11-18 11:45:41 UTC-05,,NotMalicious,Unknown,1
3,2227826,securityanalyst3,Amazon AWS WAF,2022-11-03 16:38:28 UTC-05,,Default,False,False,False,0,4002,Closed,SURA ASSET MANAGEMENT PERU S.A,Informative,Triage,272488_SRA-P_WAF_Possible_Scan_1667507119337_1667507521708,2022-11-25 10:27:37 UTC-05,,Maintenance,Rule under construction,1
4,2229542,securityanalyst1,Amazon AWS WAF,2022-11-09 00:10:10 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,274180_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667960925205_1667960925205,,,,,1
5,2233057,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-19 06:01:22 UTC-05,Recon,FW,False,False,False,"465,32777,3003,49153,992,9113,37777,2078,8007,10023,50443,90,8123,1980,6699,31210,8013,8015,8082,2080,6610,8009,17,82,8042,5989,3002,35193,7088,37020,9003,50300,1988,8300,7185,9006,5432,888,5000,7754,11001,50102,2051,587,54321,10001,60000,102,50113,1194,2200,689,2000,515,9443,2095,8096,27017,6443,3000,86,7170,53,3702,44158,623,500,123,5353,1680,69,9987,37810,60001,11211,161,3348,554,5683,27015,520,10250,111,137,1900,389,5060,9001",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Research,"276901_Host Port Scan Detected by Remote Host_1668851931309_1668851969238,276901_Host Port Scan Detected by Remote Host_1668853375283_1668853480362,276901_Host Port Scan Detected by Remote Host_1668853336242_1668853435283",,,,,3
6,2227936,securityanalyst1,Microsoft Windows Security Event Log,2022-11-03 19:49:33 UTC-05,"Intrusion Detection,Authentication,Recon","Login,SAP",False,False,False,0,"31,153,075,307,670,000,000",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Research,"272587_Login Failures Followed By Success to the same Username_1667520931719_1667521266957,272587_Multiple Login Failures for Single Username_1667520813630_1667521310950",,,,,2
7,2228897,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-06 20:59:58 UTC-05,Recon,FW,False,False,False,"3370,419,50436,43420,32117,29407,60786,13849,13331,42023,8437,5180,54828,14483,17173,45208,63246,62247,11752,13287,43792,494,16697,5232,57651,61945,59131,42708,9058,3382,25394,60454,54863,55992,56677,23017,29555,64740,55159,56344,26095,6508,59216,23185,3307,22980,40894,45251,38242,44567,55379,58765,31596,65352,61732,37107,33727,921,21461,3347,26031,19162,64000,35466,54848,65069,32488,56099,41267,34221,47980,47146,46500,835,34813,2300,46668,2768,61958,13087,62128,59713,12161,47357,61700,9418,22496,38375,25709,62741,54098,39844,25074,25859,21643,28526,46635,4193,47890,62155,48611,32708,53088,47487,48320,5677,32089,54100,7517,53049,23147,48185,47880,13106,41152,25892,35373,29442,29015,34371,3477,14442,16431,50566,24084,18153,25955,2320,40368,21972,13823,56764,5887,52098,5150,16024,2994,41038,18807,64858,25160,9537,36222,13704,21443,5356,17035,27105,24634,15329",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Assessment,"273480_Host Port Scan Detected by Remote Host_1667782620266_1667783397800,273480_Host Port Scan Detected by Remote Host_1667782740348_1667783699969",,,,,2
8,2230165,securityanalyst1,Microsoft Windows Security Event Log,2022-11-10 14:05:58 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"30,053,116",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,274783_Multiple Login Failures From the Same Source with any Username_1668096258726_1668096398137,,,,,1
9,2232087,securityanalyst1,Microsoft Office 365,2022-11-16 11:55:16 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,276109_SRA-P: User Login Success other countries_1668612541132_1668612656161,,,,,1
10,2231954,securityanalyst1,Amazon AWS WAF,2022-11-16 02:45:18 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,276005_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668577685164_1668577685164,,,,,1
11,2227392,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-03 02:21:16 UTC-05,Post-Intrusion Activity,"Default,FW,SAP,Login",False,False,False,"80,389,7680,443,3128,0,49668,135,53,23116","4,008,400,240,034,030,000,000,000,000,000,000,000",Open,SURA ASSET MANAGEMENT PERU S.A,High,Assessment,"272065_Possible Local Worm Detected_1668125221436_1668125289524,272065_Possible Local Worm Detected_1667739650716_1667739704757,272065_Possible Local Worm Detected_1667456665067_1667456699082,272065_Possible Local Worm Detected_1667456643006_1667456709099",,,,,4
12,2228238,securityanalyst1,Microsoft Office 365,2022-11-04 12:39:42 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,272868_SRA-P: User Login Success other countries_1667579866627_1667579866627,,,,,1
13,2227702,securityanalyst1,Amazon AWS CloudTrail,2022-11-03 13:38:47 UTC-05,,"OS,SAP",False,False,False,0,"7,023,100,014,015",Open,SURA ASSET MANAGEMENT PERU S.A,Low,Research,272368_AWS Cloud: Multiple Failed API Requests From Same Source IP_1667495279142_1667495281375,,,,,1
14,2230667,securityanalyst1,Amazon AWS WAF,2022-11-12 06:39:11 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275183_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668244909984_1668244909984,,,,,1
