"ID","Assigned User","Title","Time","Tags","Products","Incident","Suspicious","Important","Ports","Outcomes","Status","Environment","Priority","Stage","Ticket IDs","Closing Time","Sources","Reason","Root Cause","Alerts Count"
2227344,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 22:30:59 UTC-05","Recon","FW","FALSE","FALSE","FALSE","60162,35137,19661,19660,25868,35144,35140,19655,25879,19654,35135,43339,43347,43334,19657,35132,19658,35142,25871,25870,25878,60152,60159,60150,60154,60153,60160,35130,35134,25874,43335,60157,36564,36553,36560,36567,36566,36555,36558,36552,36551,36550,36562,36557,36565,36561,36554,36568,36563,43343,25872,25877,43342,43340,60148,60151,36559,25875,35141,36569,36572,36571,19649,19653,36570,35138,25869,60168,60164,60163,35145,35139,35136,35146,36556,19659,19652,43352,43336,25876,25867,25881,25866,25873,43351,19664,19656,19663,19651,19650,19648,43337,43338","4003","Open","GR CHIA SAS","Low","Research","272028_Host Port Scan Detected by Remote Host_1667443337715_1667443583526",,"",,,"1"
2227323,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 19:40:37 UTC-05","","FW","FALSE","FALSE","FALSE","0","18205,8060","Open","GR CHIA SAS","Low","Assessment","272014_GR Chia: Brute Force VPN SSL Fortigate_1667432181777_1667432196353",,"",,,"1"
2227275,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 16:20:42 UTC-05","Recon","FW","FALSE","FALSE","FALSE","39384,52009,61507,24138,16911,55898,51907,58294,28510,17402,20277,52500,1434,10142,44900,38144,48747,57199,10139,10144,10141,10143,21514,1503,52465,14661,53816,9411,21840,60503,63666,27605,12884,25310,22748,8690,23202,27537,61545,25398,26605,47282,1567,51044,22787,61060,57437,40564,35027,51080,63614,38770,64966,21785,45035,10609,61005,55648,42520,18333,30066,26755,51208,15277,23235,36072,37074,60791,36969,36123,61756,27504,63900,18155,7173,34517,31049,57186,36342,27162,40088,22799,9177,18128,51095,1658,18431,16544,34943,35578","4003","Open","GR CHIA SAS","Low","Research","271983_Host Port Scan Detected by Remote Host_1667421235551_1667421245250",,"",,,"1"
2227256,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 14:21:31 UTC-05","Recon","FW","FALSE","FALSE","FALSE","10411,31370,47610,5912,31491,31371,53464,31369,19008,18726,43860,14382,15871,55858,18261,36745,7886,49744,61998,25577,20548,21276,50594,9010,15638,45858,36720,60577,38649,6547,1654,36659,42758,10747,63139,56408,53327,32566,24671,14604,5850,26699,53756,6522,40407,9539,47858,27005,58001,35000,12517,46556,7166,18425,13633,28938,5636,18974,48950,2381,3529,63769,33299,43855,42930,38436,31607,31326,18596,48879,25149,43068,40885,11213,2866,20356,32241,34103,44807,62276,32369,14492,28800,36521,28291,60751,39693,20890,56403,38451,20480,34984,40920,45630,34715,10001,10009,21506,11610,1567,65323,28727,10010,10004,31368,31372,1026,16785,31373,31374,31366,34707,31367,4452,9886,53660,7843,25332,35272,15771,57218,24127,22173,50825,3723,40852,54669,10541,50033,60761,8257,53916,43528,33796,46255,50342,60813,35717,33049","4003","Open","GR CHIA SAS","Low","Assessment","271972_Host Port Scan Detected by Remote Host_1667437548742_1667437560152,271972_Host Port Scan Detected by Remote Host_1667437548814_1667437560219,271972_Host Port Scan Detected by Remote Host_1667415217918_1667415238744,271972_Host Port Scan Detected by Remote Host_1667415216742_1667415238385",,"",,,"4"
2227204,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 12:00:05 UTC-05","","FW","FALSE","TRUE","FALSE","21,49051","4002","Open","GR CHIA SAS","Low","Research","271925_GR Chia: X-Force Risk IP, Spam(Destination IP)_1667402901939_1667402904407",,"",,,"1"
2227195,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 11:41:36 UTC-05","Recon","FW","FALSE","FALSE","FALSE","28600,38730,62248,42347,42263,58173,39062,43293,64681,52848,60891,27346,25794,54426,54501,45946,36223,65482,39565,57728,24796,62165,59351,43310,47379,31283,32320,32490,41537,51625,56288,22608,65362,24643,62612,45584,24804,26740,40477,21402,37433,54533,52766,27473,47707,33151,46708,25357,33072,34024,43645,29820,37425,63559,45202,60168,38680,42690,28700,43526,60970,21357,48536,29408,27716,64390,29205,29990,43189,39897,42331,62535,50868,49404,20469,31975,61469,57140,37959,48188,44266,50122,63703,58689,63019,48628,37497,53356,52749,47503,57087,26610,31844,65062,52944,57268,52379,20399,37806,49179,47460,63827,49907,64931,60442,60370,45789,26847,24660,65131,29734,33514,54183,21906,45588,64955,45880,55550,48847,59437,64729,54529,22784,38372,27392,49532,44556,63961,24035,59851,37784,49975,49270,28474,47130,60964,61291,50796,39899,39598,30426","4003","Open","GR CHIA SAS","Low","Research","271798_Host Port Scan Detected by Remote Host_1667402038500_1667402276926",,"",,,"1"
2227160,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 09:50:26 UTC-05","Recon","FW","FALSE","FALSE","FALSE","3397,3333,5004,5619,1002,5005,20096,6969,4421,48534,3370,45678,7945,5555,55000,3310,10006,5051,12012,38919,10011,8999,3313,7009,58791,61216,1140,9528,2289,3800,3329,15962,56829,8888,41000,59823,10005,9181,3393,7900,9572,11111,7777,54321,3391,4500,8480,44444,3330,13992,27814,3488,41280,1000,7000,10086,3380,33900,9696,1464,8066,5579,163,8989,55555,10022,64000,51389,2020,55207,3401,64571,7142,3408,7003,52641,50000,55550,33107,56451,3383,60000,11724,36789,52452,6100,5700,4855,4802,16292,3392,10097,19802,14117,3395,20041,8877,10292,9999,3399,20069,3625,5368,11116,5566,20031,36252,55377,13078,20053,17040,13389,13952,56894,11084,57008,12428,520,6502,22042,33896,245,41185,30224,10532,2700,10761,20079,20295,8889,9002,5599,678,30010,8866,11187,11712,30091,22193,7851,11322,20011,20125,8810,21229,50523,1112,55080,18888,33321,8839,4451,1288,4322,5399,20043,20055,21383,20551,20003,9834,20245,40000,31065,1077,20349,7275,20017,22,5206,20015,20027,53389,5589,20275,32101,8873,21101,8686,8005,14127,6802,11026,41979,20049,6155,30018,20293,20127,21157,21253,12141,11041,5888,20891,4389,9000,20175,63893,7019,7200,55222,6789,20143","4003","Open","GR CHIA SAS","Low","Assessment","271898_Host Port Scan Detected by Remote Host_1667469539212_1667469549918,271898_Host Port Scan Detected by Remote Host_1667397051079_1667397139104",,"",,,"2"
2227131,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 08:40:04 UTC-05","Recon","FW","FALSE","TRUE","FALSE","53389,2016,5206,41979,12141,45696,3911,29740,8899,20391,20053,30018,8077,8022,4322,6688,20203,20115,20761,29261,6453,20019,5004,60020,15046,20161,6366,20111,3211,9123,9002,6880,5000,11026,9008,11187,8090,3310,33923,2277,20139,19802,16812,21157,55080,6809,50000,8889,6808,12245,11084,11116,20219,57008,45698,20119,3399,9872,4565,1217,30010,41994,50840,11041,16531,15213,443,6689,5368,7019,3391,20039,20047,17040,4451,30091,20349,17132,20155,35009,13078,10097,11712,20467,32379,22193,3390,5599,50523,20003,9090,2700,3030,6803,8873,41185,6603,21172,20321","4003","Open","GR CHIA SAS","Low","Research","271874_Host Port Scan Detected by Remote Host_1667392780256_1667392790719",,"",,,"1"
2227104,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 06:52:09 UTC-05","Recon","FW","FALSE","FALSE","FALSE","28262,10383,48717,23413,20327,55443,30007,61582,42326,25579,33518,24610,40059,52189,20120,43140,17771,10377,47926,54446,17514,32380,34902,28733,45285,61030,8805,21276,33624,18483,14832,52565,10403,58627,29083,47478,39530,25073,10243,56824,52260,34109,7863,40677,31021,49310,10401,30943,17806,16540,24632,3532,14617,10399,40010,25054,7273,7551,31764,23595,56246,56504,10792,56399,55354,24782,18303,64411,39851,63843,48815,34108,10389,3196,11217,7928,25467,10735,36313,61137,36516","4003","Open","GR CHIA SAS","Low","Research","271844_Host Port Scan Detected by Remote Host_1667387734236_1667387825874",,"",,,"1"
2227049,"securityanalyst1","Fortinet FortiGate Security Gateway","2022-11-02 02:01:40 UTC-05","Recon","FW","FALSE","FALSE","FALSE","8083,99,548,389,6667,3333,111,8291,9443,1433,888,4443,23,995,8081,5601,993,37777,631,80,21,902,82,12345,9080,49153,9300,1194,1723,8888,8090,41800,8088,2087,27017,179,10443,2002,2083,7547,3389,3000,52869,1024,8728,8181,9001,5801,1025,2082,4567,25,2121,4321,22,2000,2222,84,83,2323,264,1900,5985,1935,6001,143,49152,5001,6881,3306,9100,3001,587,1080,500,8899,8008,5555,123,8443,88,9530,53,9400,9999,1521,9200,8089,443,5632,5986,8087,10001,8082,161,8880,873,13,8200,8069,2086,8010,10250,10000,5353,81,8602,9998,50000,5000,62078,9000,465,135,8099,9090,445,8085,8383,5060,8000,110,8080,9002,79,8020,8889,15,5357,554,541,4500,7777,8009,8001,5222,5432,139,7443,5900,3128,3702,444,119","4003","Open","GR CHIA SAS","Low","Assessment","271794_Host Port Scan Detected by Remote Host_1667371626928_1667371632191,271794_Host Port Scan Detected by Remote Host_1667371622163_1667371626928,271794_Host Port Scan Detected by Remote Host_1667371617372_1667371622163,271794_Host Port Scan Detected by Remote Host_1667371612931_1667371616984,271794_Host Port Scan Detected by Remote Host_1667371607772_1667371612931",,"",,,"5"
