usecase,description,default_syntax,category_rule,subcategory_rule,correlation_rule
Cloud Gestion de Acceso,Detects if at least 10 failed API requests have been initiated from the same username in two minutes,"Apply AWS Cloud: Multiple Failed API Requests From The Same Username on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when BB: AWS Cloud: API Request Has Been Denied match at least 10 times with the same Username in 2 minutes",,Amazon AWS,AWS Cloud Multiple Failed API Requests From The Same Username
Cloud Gestión de Acceso,Alerts when a user who does not have admin rights is able to attach to an admin role,"Apply AWS Cloud: User who has no admin rights accesses an Admin Role on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750860) Attach Role Policy
and NOT when any of Username are contained in any of AWS - Admin Users - AlphaNumeric
and when any of Role Name (custom) are contained in any of AWS - Admin Roles - AlphaNumeric",,Amazon AWS,AWS Cloud: User who has no admin rights accesses an Admin Role
Cloud Gestión de Acceso,Alerts when a User Profiler has been updated,"Apply AWS Cloud: User Profile Updated on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750071) Assume Role",,Amazon AWS,AWS Cloud: User Profile Updated
Cloud Gestión de Acceso,Detects when a user will be added to a group with admin role capabilities,"Apply AWS Cloud: User added to a Group with Admin Role Capability on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event category for the event is one of the following Authentication.Group Member Added
and when any of Group Name (custom) are contained in any of AWS - Admin Groups - AlphaNumeric",,Amazon AWS,AWS Cloud: User added to a Group with Admin Role Capability
Cloud Gestión de Acceso,"Alerts on changes to Security Group Configurations, additions/deletions of rules and groups","Apply AWS Cloud: Security Group Configuration changes on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750003) Create Security Group, (88750083) Authorize Security Group Egress, (88750080) Authorize Cache Security Group Ingress, (88750081) Authorize Cluster Security Group Ingress, (88750082) Authorize DB Security Group Ingress, (88750750) Revoke Security Group Egress, (88750751) Revoke Security Group Ingress, (88750300) Delete Security Group",,Amazon AWS,AWS Cloud: Security Group Configuration changes
Cloud Gestión de Acceso,Alerts on user not in established Reference Set of Users attempting to retrieve AWS resources,"Apply AWS Cloud: S3 Bucket accessed by Non-Standard User on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and NOT when any of Federated User (custom), Username are contained in any of AWS - Standard Users - AlphaNumeric
and when the event QID is one of the following (88750607) List Objects, (88750512) Get Bucket Acl, (88750513) Get Bucket Cors, (88750514) Get Bucket Lifecycle, (88750515) Get Bucket Location, (88750516) Get Bucket Logging, (88750517) Get Bucket Notification, (88750518) Get Bucket Policy, (88750519) Get Bucket Request Payment, (88750520) Get Bucket Tagging, (88750521) Get Bucket Versioning, (88750522) Get Bucket Website",,Amazon AWS,AWS Cloud: S3 Bucket accessed by Non-Standard User 
Cloud Gestión de Acceso,Detects if at least 10 failed API requests have been initiated from the same Source IP in two minutes,"Apply AWS Cloud: Multiple Failed API Requests From Same Source IP on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when BB: AWS Cloud: API Request Has Been Denied match at least 10 times with the same Source IP in 2 minutes",,Amazon AWS,AWS Cloud: Multiple Failed API Requests From Same Source IP
Cloud Gestión de Acceso,"Apply AWS Cloud: Multiple Failed API Requests From Different Source IPs on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when BB: AWS Cloud: API Request Has Been Denied match at least 30 times with the same Destination IP and different Source IP in 2 minutes",Detects if at least 30 failed API requests have been initiated from different Source IPs to the same destination IP in two minutes,,Amazon AWS,AWS Cloud: Multiple Failed API Requests From Different Source Ips
Cloud Gestión de Acceso,"This rule will detect login failures to AWS management console, and will trigger an offense if at least 5 login failures happened from the same source IP on 2 minutes","Apply AWS Cloud: Multiple Console Login Failures from Same Source IP on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750854) Console Login
and when the event matches Error Code (custom) is any of [Failure or Failed authentication]
and when at least 5 events are seen with the same Source IP in 2 minutes",Cumplimiento,Amazon AWS,AWS Cloud: Multiple Console Login Failures from Same Source IP
Cloud Gestión de Acceso,"Looks for failed to login to the AWS Console 25 times in 2 minutes, from the Different Source Ips","Apply AWS Cloud: Multiple Console Login Failures From Different Source IPs on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750854) Console Login
and when the event matches Error Code (custom) is any of [Failure or Failed authentication]
and when at least 25 events are seen with the same Destination IP and different Source IP in 2 minutes",,Amazon AWS,AWS Cloud: Multiple Console Login Failures From Different Source Ips
Cloud Gestion de Usuarios ,Detects an unauthorized attempt to access the Amazon Web Services (AWS) console by a user that is oustide the authorized list in the 'AWS - Standard Users' reference set.,"Apply UBA : AWS Console Accessed by Unauthorized User on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750854) Console Login
and when an event matches any of the following BB:UBA : Common Event Filters
and NOT when any of Username are contained in any of AWS - Standard Users - AlphaNumeric",Disponibilidad del Sistema,User Behavior Analytics,UBA : AWS Console Accessed by Unauthorized User
Cloud Gestion de Usuarios ,Alerts when a Password Policy has been updated,"Apply AWS Cloud: Password Policy Updated on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750802) Update Account Password Policy",,Amazon AWS,AWS Cloud: Password Policy Updated
Cloud Gestion de Usuarios ,Alerts when a Group has been created or deleted,"Apply AWS Cloud: Group has been Created or Deleted on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750154) Create Group, (88750259) Delete Group",,Amazon AWS,AWS Cloud: Group has been Created or Deleted
Cloud Gestion de Usuarios ,"Detects if the same username will login to Amazon AWS Management console from different source geographies, may indication shared or stolen credentials.","Apply AWS Cloud: Detected A Successful Login To AWS Console From Different Geographies on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750854) Console Login
and when the event matches Error Code (custom) is not N/A, Error Code (custom) is not any of [Failure or Failed authentication]
and when at least 2 events are seen with the same Username and different Source Geographic Country/Region in 1 hour(s)",,Amazon AWS,AWS Cloud: Detected A Successful Login To AWS Console From Different Geographies
Cloud Gestion de Usuarios ,Alerts on Amazon AWS activity by the root user.  Logging in as root hides the true identity of the user.,"Apply AWS Cloud: Cloud activity by root user on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event matches Username is any of root",,Amazon AWS,AWS Cloud: Cloud activity by root user 
Cloud Modificaciones anómalas en Plataforma,"Alerts on changes to S3 Bucket Policies. Changes to ACLs, CORS, Lifecycle Policies.","Apply AWS Cloud: S3 Bucket Policy changes on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750672) Put Bucket Policy, (88750935) Put Bucket Acl, (88750668) Put Bucket Cors, (88750669) Put Bucket Lifecycle",Cumplimiento,Amazon AWS,AWS Cloud: S3 Bucket Policy changes
Cloud Modificaciones anómalas en Plataforma,"Alerts when an S3 bucket or its contents are deleted. Lifecycle, Replication, CORS, and other policies","Apply AWS Cloud: S3 Bucket has been deleted on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750227) Delete Bucket, (88750228) Delete Bucket Cors, (88750229) Delete Bucket Lifecycle, (88750230) Delete Bucket Policy",,Amazon AWS,AWS Cloud: S3 Bucket has been deleted
Cloud Modificaciones anómalas en Plataforma,Alerts when an S3 bucket is created,"Apply AWS Cloud: S3 Bucket has been created on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750126) Create Bucket",,Amazon AWS,AWS Cloud: S3 Bucket has been created
Cloud Modificaciones anómalas en Plataforma,"Looks for newly generated keys, deleted keys, encryption, or decryption activities and creates events or alerts depending on severity.","Apply AWS Cloud: Key Pair Management configuration changes on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750940) ReEncrypt, (88750872) Decrypt, (88750907) Generate Data Key, (88750867) Create Key, (88750964) Disable Key, (88750928) List Keys, (88750908) Generate Data Key Without Plain text",,Amazon AWS,AWS Cloud: Key Pair Management configuration changes
Cloud Modificaciones anómalas en Plataforma,Alerts on configuration changes to the Cloud Trail logs.,"Apply AWS Cloud: Detected A Change To AWS Trail Logging Configurations on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750838) Update Trail",,Amazon AWS,AWS Cloud: Detected A Change To AWS Trail Logging Configurations
Cloud Modificaciones anómalas en Plataforma,"Detects when an API call is made to terminate, start, stop, or reboot a critical Amazon EC2 instance","Apply AWS Cloud: Critical EC2 Instance Has Been Stopped OR Terminated on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750040) Stop Instances, (88750786) Stop Instance, (88750041) Terminate Instances, (88750266) Delete Instance, (88750697) Reboot Instance, (88750698) Reboot Instances
and when any of InstanceID (custom) are contained in any of AWS - Critical EC2 Instance IDs - AlphaNumeric",,Amazon AWS,AWS Cloud: Critical EC2 Instance Has Been Stopped OR Terminated
