,id,rule_name,description,magnitude,historical,closeUser,formattedClosedDate,closedWithCustomizedReason,localizedCloseReason,usernameOrderBy,deviceOrderBy,domainInfo,offenseMapper,offenseMapperType,archived,offenseSource,escapedFormattedOffenseSource,formattedOffenseType,description.1,fullDescription,credibility,credibilityFormatted,severity,severityFormatted,relevance,relevanceFormatted,categoryCount,targetCount,attackerCount,eventCount,formattedEventCount,flowCount,formattedFlowCount,eventDescription,startTime,endTime,attacker,attackerDescription,target,targetDescription,tokensAsString,deviceCount,userCount,attackerId,formattedStartTime,formattedEndTime,formattedLastEventTime,formattedDuration,assignedToUser,username,dismissedCode,allNotes,targetNetwork,startTimeAbs,endTimeAbs,targetNetworkDescription,attackerNetwork,attackerIP,remoteTargetCount,localTargetCount,targetNetworkCount,domainName
0,255354,Local L2R Database Scanner,"Local Database Scanner Detected
 containing Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:168434793,10.10.28.105,Source IP,Local Database Scanner Detected  containing Firewall Deny ,Local Database Scanner Detected  containing Firewall Deny ,2,2,4,4,0,0,2,62,1,63,63,0,0,63 events and 0 flows in 2 categories,Sun Sep 18 01:00:34 COT 2022,Sun Sep 18 01:00:36 COT 2022,10.10.28.105,10.10.28.105,190.60.74.171,Remote (62) ,1|1998519,2,0,815986,"Sep 18, 2022, 1:00:34 AM","Sep 18, 2022, 1:00:36 AM",47d 7h 43m 55s,1s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",other,166348000000000000    ,166348000000000000    ,other,GR_CHIA.FW_IFX,10.10.28.105,62,0,1,GR CHIA SAS
1,255361,GR Chia: Brute Force VPN SSL Fortigate,"SSL alerts
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_MERCANET,domain 11,0,BY_ATTACKER,0,11:1755093788,104.156.155.28,Source IP,SSL alerts ,SSL alerts ,2,2,5,5,0,0,2,1,1,68,68,0,0,68 events and 0 flows in 2 categories,Sun Sep 18 03:52:38 COT 2022,Sun Sep 18 03:53:28 COT 2022,104.156.155.28,104.156.155.28,172.201.1.1,172.201.1.1 ,1|1998663,1,0,1196773,"Sep 18, 2022, 3:52:38 AM","Sep 18, 2022, 3:53:28 AM",47d 4h 51m 2s,50s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",other,166349000000000000    ,166349000000000000    ,other,other,104.156.155.28,1,0,1,GR CHIA SAS
2,255451,"GR Chia: X-Force Risk IP, Spam(Destination IP)","Firewall Permit
 preceded by Traffic timeout
",1,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,1,BY_TARGET,0,11:-1254214594,181.62.52.62,Destination IP,Firewall Permit  preceded by Traffic timeout ,Firewall Permit  preceded by Traffic timeout ,2,2,3,3,0,0,2,1,1,8,8,0,0,8 events and 0 flows in 2 categories,Sun Sep 18 12:06:22 COT 2022,Mon Sep 19 01:58:50 COT 2022,10.10.46.168,10.10.46.168,181.62.52.62,181.62.52.62 ,1,2,0,758846,"Sep 18, 2022, 12:06:22 PM","Sep 19, 2022, 1:58:50 AM",46d 6h 45m 41s,13h 52m 28s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",other,166352000000000000    ,166357000000000000    ,other,GR_CHIA.FW_IFX,10.10.46.168,1,0,1,GR CHIA SAS
3,255487,"GR Chia: X-Force Risk IP, Spam(Destination IP)","Traffic timeout
 preceded by Firewall Permit
",1,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,1,BY_TARGET,0,11:-1254214644,181.62.52.12,Destination IP,Traffic timeout  preceded by Firewall Permit ,Traffic timeout  preceded by Firewall Permit ,2,2,3,3,0,0,2,1,2,5,5,0,0,5 events and 0 flows in 2 categories,Sun Sep 18 15:11:53 COT 2022,Mon Sep 19 23:47:41 COT 2022,10.10.36.79,Multiple (2) ,181.62.52.12,181.62.52.12 ,1,2,0,6037,"Sep 18, 2022, 3:11:53 PM","Sep 19, 2022, 11:47:41 PM",45d 8h 56m 50s,1d 8h 35m 47s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",other,166353000000000000    ,166365000000000000    ,other,GR_CHIA.FW_IFX,10.10.36.79,1,0,1,GR CHIA SAS
4,255528,Host Port Scan Detected by Remote Host,"Firewall Deny
",3,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1097731976,190.145.240.120,Source IP,Firewall Deny ,Firewall Deny ,2,2,8,8,0,0,2,4,1,10443,"10,443",0,0,"10,443 events and 0 flows in 2 categories",Sun Sep 18 20:07:48 COT 2022,Wed Sep 28 06:32:44 COT 2022,190.145.240.120,190.145.240.120,200.14.43.240,200.14.43.240 Remote (3) ,1|2022872|2015737|2015347|2002510|2014348|2005323|2015944|2002503|2002471|2015746|2000001|2015873,3,0,1112311,"Sep 18, 2022, 8:07:48 PM","Sep 28, 2022, 6:32:44 AM",37d 2h 11m 47s,9d 10h 24m 55s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,166355000000000000    ,166436000000000000    ,Multiple (2),other,190.145.240.120,3,1,2,GR CHIA SAS
5,255532,"GR Chia: X-Force Risk IP, Spam(Destination IP)","Traffic timeout
",1,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_IFX,domain 11,1,BY_TARGET,0,11:-1254940400,181.51.33.16,Destination IP,Traffic timeout ,Traffic timeout ,2,2,3,3,0,0,1,1,1,1,1,0,0,1 events and 0 flows in 1 categories,Sun Sep 18 20:39:25 COT 2022,Sun Sep 18 20:39:25 COT 2022,10.10.36.79,10.10.36.79,181.51.33.16,181.51.33.16 ,1,1,0,6037,"Sep 18, 2022, 8:39:25 PM","Sep 18, 2022, 8:39:25 PM",46d 12h 5m 6s,0s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",other,166355000000000000    ,166355000000000000    ,other,GR_CHIA.FW_IFX,10.10.36.79,1,0,1,GR CHIA SAS
6,255650,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_MERCANET,domain 11,0,BY_ATTACKER,0,11:1348361626,80.94.93.154,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,16,1,2819,"2,819",0,0,"2,819 events and 0 flows in 1 categories",Mon Sep 19 03:58:46 COT 2022,Mon Sep 19 09:45:32 COT 2022,80.94.93.154,80.94.93.154,200.14.43.130,Local (16) ,1|2001132|2001357|2000843|2001432|2000823|2000834|2000882,1,0,1198702,"Sep 19, 2022, 3:58:46 AM","Sep 19, 2022, 9:45:32 AM",45d 22h 58m 59s,5h 46m 45s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,166358000000000000    ,16636000000000000    ,GR_CHIA.Publicas_Mercanet,other,80.94.93.154,0,16,1,GR CHIA SAS
7,255682,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1290552876,179.19.185.212,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,3,1,336,336,0,0,336 events and 0 flows in 1 categories,Mon Sep 19 07:17:26 COT 2022,Mon Sep 19 07:25:31 COT 2022,179.19.185.212,179.19.185.212,200.14.43.240,200.14.43.240 Remote (2) ,1|2001116|2001110,2,0,1198955,"Sep 19, 2022, 7:17:26 AM","Sep 19, 2022, 7:25:31 AM",46d 1h 18m 59s,8m 5s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,166359000000000000    ,166359000000000000    ,Multiple (2),other,179.19.185.212,2,1,2,GR CHIA SAS
8,255720,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1167855203,186.99.241.157,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,2,1,75,75,0,0,75 events and 0 flows in 1 categories,Mon Sep 19 09:24:20 COT 2022,Mon Sep 19 09:27:28 COT 2022,186.99.241.157,186.99.241.157,200.14.43.240,200.14.43.240 190.60.74.244 ,1|2001385|2001379,2,0,1199147,"Sep 19, 2022, 9:24:20 AM","Sep 19, 2022, 9:27:28 AM",45d 23h 17m 2s,3m 8s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,16636000000000000    ,16636000000000000    ,Multiple (2),other,186.99.241.157,1,1,2,GR CHIA SAS
9,255783,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_IFX,domain 11,0,BY_ATTACKER,0,11:-1167702721,186.102.69.63,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,2,1,375,375,0,0,375 events and 0 flows in 1 categories,Mon Sep 19 13:18:11 COT 2022,Mon Sep 19 13:18:48 COT 2022,186.102.69.63,186.102.69.63,190.60.74.245,Remote (2) ,1|2001867,1,0,1199334,"Sep 19, 2022, 1:18:11 PM","Sep 19, 2022, 1:18:48 PM",45d 19h 25m 42s,37s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",other,166361000000000000    ,166361000000000000    ,other,other,186.102.69.63,2,0,1,GR CHIA SAS
10,255785,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1167705025,186.102.60.63,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,3,1,125,125,0,0,125 events and 0 flows in 1 categories,Mon Sep 19 13:49:32 COT 2022,Mon Sep 19 13:49:43 COT 2022,186.102.60.63,186.102.60.63,200.14.43.240,200.14.43.240 Remote (2) ,1|2001928,2,0,1199356,"Sep 19, 2022, 1:49:32 PM","Sep 19, 2022, 1:49:43 PM",45d 18h 54m 47s,11s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,166361000000000000    ,166361000000000000    ,Multiple (2),other,186.102.60.63,2,1,2,GR CHIA SAS
11,255788,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1290554829,179.19.178.51,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,3,1,95,95,0,0,95 events and 0 flows in 1 categories,Mon Sep 19 14:01:35 COT 2022,Mon Sep 19 14:03:40 COT 2022,179.19.178.51,179.19.178.51,200.14.43.240,200.14.43.240 Remote (2) ,1|2001954,2,0,1199364,"Sep 19, 2022, 2:01:35 PM","Sep 19, 2022, 2:03:40 PM",45d 18h 40m 50s,2m 5s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,166361000000000000    ,166361000000000000    ,Multiple (2),other,179.19.178.51,2,1,2,GR CHIA SAS
12,255799,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Oct 4, 2022, 9:17:47 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1244882494,181.204.153.194,Source IP,Firewall Deny ,Firewall Deny ,2,2,6,6,0,0,2,2,1,16694,"16,694",0,0,"16,694 events and 0 flows in 2 categories",Mon Sep 19 14:19:34 COT 2022,Wed Sep 21 09:22:59 COT 2022,181.204.153.194,181.204.153.194,200.14.43.240,200.14.43.240 190.60.74.247 ,2001998|1|2002380|2002009|2005687|2002018|2002034,3,0,1137594,"Sep 19, 2022, 2:19:34 PM","Sep 21, 2022, 9:22:59 AM",43d 23h 21m 32s,1d 19h 3m 24s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se procede al cierre posterior a la realización del informe mensual jcifuentes Oct 4, 2022, 9:17:47 AM""",GR_CHIA.Publicas_Mercanet,166362000000000000    ,166377000000000000    ,Multiple (2),other,181.204.153.194,1,1,2,GR CHIA SAS
