"id","questions","page","options"
1,"What is active directory?",2,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
2,"This is a Question?",2,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
3,"This is a Question?",2,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
4,"This is a Question?",2,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
5,"This is a Question?",2,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
6,"This is a Question?",8,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
7,"This is a Question?",8,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
8,"This is a Question?",8,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
9,"This is a Question?",8,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
10,"This is a Question?",8,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
11,"This is a Question?",3,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
12,"This is a Question?",3,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
13,"How network security works?",3,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
14,"How software security works?",3,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
15,"How secure is active directory ?",3,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
16,"How secure is user security?",4,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
17,"How secure is your endpoints?",4,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
18,"How secure is your data?",4,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
19,"How secure is your operations?",4,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
20,"How secure is your networks?",4,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
21,"How secure is your software?",5,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
22,"This is a Question?",5,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
23,"This is a Question?",5,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
24,"This is a Question?",5,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
25,"This is a Question?",5,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
26,"This is a Question?",6,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
27,"This is a Question?",6,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
28,"This is a Question?",6,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
29,"This is a Question?",6,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
30,"This is a Question?",6,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
31,"This is a Question?",7,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
32,"This is a Question?",7,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
33,"This is a Question?",7,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
34,"This is a Question?",7,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
35,"This is a Question?",7,"{""not deployed"",""very low"",""low maturity"",""mid maturity"",""high maturity"",""very high"",""very very high""}"
