id,questions,page,options
1,What type of Active Directory Implementation do you have?..,2,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
2,How widely deployed is the Active Directory Implementation?..,2,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
3,Active Directory Policies..,2,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
4,Active Directory Management & Administration..,2,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
5,Active Directory Resillience..,2,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
6,User Password Policy..,3,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
7,MFA Coverage..,3,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
8,SLAM (Securing Lateral Account Movement)..,3,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
9,PAM (Privileged Access Management)..,3,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
10,Security Awareness Program..,3,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
11,Antivirus/Antimalware..,4,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
12,EDR/XDR..,4,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
13,LAPS (Local Administrator Password Solution)..,4,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
14,Vulnerability Management..,4,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
15,MDM (Mobile Device Management)..,4,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
16,Data Management (Data Lifecycle)..,5,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
17,Data Backup..,5,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
18,DLP Solutions..,5,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
19,Data Access Control..,5,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
20,User Training specific to Data Protection..,5,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
21,Security Operation Center (SOC) Service Coverage..,6,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
22,Security Operation Center (SOC) Service Scope,6,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
23,Security Operation Center (SOC) Process Maturity..,6,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
24,Security Operation Center (SOC) Technologies..,6,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
25,Security Operation Center (SOC) Personnel Training..,6,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
26,Network Segmentation..,7,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
27,Network Firewalls..,7,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
28,Network IPS/IDS,7,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
29,Host Network Security..,7,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
30,VPN Service..,7,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
31,SSDLC..,8,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
32,DevSecOps..,8,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
33,Software Team Training..,8,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
34,Developement Environment (Traditional Model)..,8,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
35,Application/Product/Software Vulnerbility Management Process Maturity..,8,"{""Not Deployed"", ""Very low maturity"", ""Low maturity"", ""Mid maturity"", ""High maturity"", ""High maturity""}"
